route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
vilnius_trol_2,12962,19158,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19159,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19160,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19161,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19162,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19163,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19164,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19165,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19166,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19167,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19168,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19169,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19170,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19171,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19172,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19173,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19174,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19175,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19176,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19177,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19178,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19179,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19180,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19181,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19182,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19183,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19184,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19185,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19186,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19187,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19188,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19189,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19190,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19191,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19192,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19193,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19194,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19195,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19196,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19197,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19198,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19199,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19200,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19201,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19202,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19203,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19204,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19205,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19206,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19207,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19208,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19209,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19210,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19211,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19212,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19213,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19214,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19215,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19216,"Stotis",0,68164,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19217,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19218,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19219,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19220,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19221,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19222,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19223,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19224,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19225,"Stotis",0,68166,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19226,"Stotis",0,68159,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19227,"Stotis",0,68160,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19228,"Stotis",0,68163,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19229,"Stotis",0,68162,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19230,"Stotis",0,68161,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19231,"Stotis",0,68167,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19232,"Stotis",0,68158,vilnius_trol_2_a-b,
vilnius_trol_2,12962,19233,"Stotis",0,68165,vilnius_trol_2_a-b,1
vilnius_trol_2,12962,19234,"Stotis",0,68166,vilnius_trol_2_a-b,
